Month,Route Number,Total Miles,Total Weight,House Count,Weight per House
June,RFAU16,74,51660,739,69.9052774
June,RFAU20,47,43260,1577,27.43183259
June,RFAU21,64,60500,1717,35.23587653
June,RFAU22,45,55560,907,61.25689085
June,RFAU25,79,57220,1638,34.93284493
June,RFAU26,55,54920,979,56.09805924
June,RMBS33,51,52700,848,62.14622642
June,RMBS35,25,50100,1563,32.0537428
June,RMBS40,21,40380,754,53.55437666
June,RMBS41,37,48040,1148,41.8466899
June,RMBS42,13,19720,797,24.74278545
June,RMBS43,21,43200,1096,39.41605839
June,RMBU10,58,69380,1239,55.99677159
June,RMBU11,60,63140,1146,55.09598604
June,RMBU12,61,50160,1213,41.35201979
June,RMBU13,46,50200,1384,36.2716763
June,RMBU14,70,55480,833,66.60264106
June,RMBU15,62,63520,715,88.83916084
June,RMBU20,52,74680,1445,51.6816609
June,RMBU21,45,54460,1637,33.26817349
June,RMBU22,52,62780,1469,42.73655548
June,RMBU23,34,55040,860,64
June,RMBU24,41,62320,1096,56.86131387
June,RMBU25,54,45840,1020,44.94117647
June,RMBU26,38,55820,1215,45.94238683
June,RTBS33,30,32920,751,43.83488682
June,RTBS34,24,39700,1063,37.34713076
June,RTBS35,38,36280,956,37.94979079
June,RTBS40,43,35640,995,35.81909548
June,RTBS41,26,51320,758,67.70448549
June,RTBS43,21,36840,760,48.47368421
June,RTBU10,39,35240,645,54.63565891
June,RTBU11,51,43260,751,57.60319574
June,RTBU12,37,37360,586,63.75426621
June,RTBU13,60,45040,834,54.00479616
June,RTBU15,81,47600,1008,47.22222222
June,RTBU16,62,36880,581,63.4767642
June,RTBU20,37,43780,913,47.95180723
June,RTBU21,30,35380,847,41.77095632
June,RTBU22,31,43700,769,56.82704811
June,RTBU23,37,39060,935,41.77540107
June,RTBU26,40,43840,872,50.27522936
June,RWBS33,29,38780,1084,35.77490775
June,RWBS34,23,33997,1157,29.38375108
June,RWBS35,54,69508,1610,43.17267081
June,RWBS40,48,41900,837,50.05973716
June,RWBS41,19,35357,1189,29.73675357
June,RWBS43,40,45280,1249,36.2530024
June,RWBU10,72,42697,905,47.17900552
June,RWBU11,42,40640,858,47.36596737
June,RWBU12,56,36220,873,41.48911798
June,RWBU13,104,40780,667,61.13943028
June,RWBU14,78,46660,890,52.42696629
June,RWBU16,60,43140,839,51.41835518
June,RWBU20,59,52040,1116,46.63082437
June,RWBU21,40,50520,1331,37.95642374
June,RWBU22,53,51380,1573,32.66369994
June,RWBU23,45,50180,1192,42.09731544
June,RWBU24,48,50160,1020,49.17647059
June,RWBU25,55,39860,969,41.13519092
June,RWBU26,66,48400,937,51.65421558
June,RHBS33,41,37900,1151,32.92788879
