Month,Route Number,Total Miles,Total Weight,House Count,Weight per House
March,RFBU16,40,38500,916,42.03
March,RFBU20,47,37860,1459,25.95
March,RFBU21,43,37420,1058,35.37
March,RFBU22,36,43940,1144,38.41
March,RFBU23,45,43360,1091,39.74
March,RFBU24,60,47560,856,55.56
March,RFBU25,51,39980,914,43.74
March,RMAS33,34,37580,1101,34.13
March,RMAS34,36,39840,1178,33.82
March,RMAS35,24,55840,1207,46.26
March,RMAS40,31,35180,833,42.23
March,RMAS41,35,46820,1225,38.22
March,RMAS42,13,17820,966,18.45
March,RMAU10,40,47980,1112,43.15
March,RMAU11,79,65760,1188,55.35
March,RMAU12,41,42380,983,43.11
March,RMAU14,45,44760,1089,41.10
March,RMAU15,60,47320,909,52.06
March,RMAU16,50,38820,791,49.08
March,RMAU20,33,47380,896,52.88
March,RMAU21,40,45160,1345,33.58
March,RMAU22,46,46880,1299,36.09
March,RMAU23,46,42420,1591,26.66
March,RMAU24,52,50320,948,53.08
March,RMAU25,33,40200,922,43.60
March,RTAS33,26,38840,1061,36.61
March,RTAS34,25,39100,1129,34.63
March,RTAS35,42,39920,1094,36.49
March,RTAS40,17,28660,724,39.59
March,RTAS41,39,41740,1148,36.36
March,RTAS42,22,35740,1056,33.84
March,RTAS43,20,34080,1056,32.27
March,RTAU10,35,38240,776,49.28
March,RTAU11,48,42700,843,50.65
March,RTAU13,48,36960,1254,29.47
March,RTAU14,34,41520,866,47.94
March,RTAU15,59,44340,1089,40.72
March,RTAU16,47,35420,868,40.81
March,RTAU20,34,40440,1025,39.45
March,RTAU21,38,40080,1411,28.41
March,RTAU22,43,46280,819,56.51
March,RTAU23,28,35720,1002,35.65
March,RTAU24,48,43920,1003,43.79
March,RTAU26,49,40500,798,50.75
March,RWAS33,58,39510,1141,34.63
March,RWAS34,44,42460,1576,26.94
March,RWAS35,31,33160,1556,21.31
March,RWAS40,30,31870,738,43.18
March,RWAS41,44,43020,915,47.02
March,RWAS42,27,35257,990,35.61
March,RWAS43,36,37620,990,38.00
March,RWAU10,51,46336,1035,44.77
March,RWAU12,57,52626,944,55.75
March,RWAU13,53,42640,906,47.06
March,RWAU14,48,47880,917,52.21
March,RWAU15,60,46540,944,49.30
March,RWAU16,38,35200,1034,34.04
March,RWAU20,48,47820,990,48.30
March,RWAU21,38,43740,837,52.26
March,RWAU22,48,43980,1113,39.51
March,RWAU23,33,40800,1068,38.20
March,RWAU24,64,58600,1518,38.60
March,RWAU26,47,45037,1330,33.86
March,RHAS33,49,35020,968,36.18
March,RHAS34,44,40390,1246,32.42
March,RHAS35,16,24890,1240,20.07
March,RHAS40,34,37840,555,68.18
March,RHAS41,28,36100,1096,32.94
March,RHAS42,57,45306,1096,41.34
March,RHAS43,26,36500,1283,28.45
March,RHAU10,37,45456,937,48.51
March,RHAU11,47,42060,858,49.02
March,RHAU12,20,26200,903,29.01
March,RHAU13,52,39340,857,45.90
March,RHAU14,52,45940,1122,40.94
March,RHAU15,43,48020,1338,35.89
March,RHAU20,44,44040,1359,32.41
March,RHAU21,46,32860,1076,30.54
March,RHAU22,36,46620,1279,36.45
March,RHAU23,40,45840,1260,36.38
March,RHAU24,62,56660,1095,51.74
March,RHAU26,144,45824,1399,32.75
March,RFAS33,36,39940,1016,39.31
March,RFAS35,95,77240,1589,48.61
March,RFAS41,33,39920,951,41.98
March,RFAS42,38,26080,1402,18.60
March,RFAS43,60,34520,1125,30.68
March,RFAU10,58,54038,1052,51.37
March,RFAU12,58,33886,858,39.49
March,RFAU13,49,43700,799,54.69
March,RFAU15,55,41086,667,61.60
March,RFAU16,71,51720,739,69.99
March,RFAU20,58,48940,1577,31.03
March,RFAU21,52,42840,1717,24.95
March,RFAU22,28,44300,907,48.84
March,RFAU25,99,71940,1638,43.92
March,RFAU26,56,50720,979,51.81
March,RTBU12,15,17220,586,29.39
March,RHBS41,14,24380,979,24.90
March,RFBS43,23,20840,961,21.69
March,RMAS43,13,19520,966,20.21
March,RWAU11,28,21900,985,22.23
April,RTBS33,44,42180,751,56.16511318
April,RTBS34,28,57540,1063,54.12982126
April,RTBS35,56,49800,956,52.09205021
April,RTBS40,65,50240,995,50.49246231
April,RTBS41,34,57000,758,75.19788918
April,RTBS43,44,66340,760,87.28947368
April,RTBU10,40,62440,645,96.80620155
April,RTBU11,56,60580,751,80.66577896
April,RTBU12,49,54300,586,92.66211604
April,RTBU13,76,68180,834,81.75059952
April,RTBU15,66,68860,1008,68.31349206
April,RTBU16,76,59420,581,102.2719449
April,RTBU20,29,53620,913,58.72946331
April,RTBU21,60,67080,847,79.19716647
April,RTBU22,50,54160,769,70.42912874
April,RTBU23,60,57940,935,61.96791444
April,RTBU26,62,71560,872,82.06422018
April,RWBS33,35,67160,1084,61.95571956
April,RWBS34,37,62400,1157,53.93258427
April,RWBS35,47,67000,1610,41.61490683
April,RWBS40,56,51234,837,61.21146953
April,RWBS41,49,64260,1189,54.04541632
April,RWBS42,50,49217,1189,41.39360807
April,RWBS43,82,71280,1249,57.06965572
April,RWBU10,87,74343,905,82.14696133
April,RWBU11,66,55880,858,65.12820513
April,RWBU12,69,56100,873,64.26116838
April,RWBU13,126,51900,667,77.81109445
April,RWBU14,156,90466,890,101.647191
April,RWBU16,111,58720,839,69.98808105
April,RWBU20,69,69619,1116,62.38261649
April,RWBU21,61,69740,1331,52.39669421
April,RWBU22,80,65780,1573,41.81818182
April,RWBU23,53,64460,1192,54.07718121
April,RWBU24,69,86080,1020,84.39215686
April,RWBU25,73,72308,969,74.62125903
April,RHBS33,51,37526,1151,32.60295395
April,RHBS35,30,37110,1523,24.36638214
April,RHBS40,25,36380,979,37.16036772
April,RHBS42,43,41167,1045,39.39425837
April,RHBS43,62,54880,1225,44.8
April,RHBU10,47,46592,776,60.04123711
April,RHBU11,44,36440,769,47.38621586
April,RHBU12,47,47420,841,56.38525565
April,RHBU13,36,43306,853,50.76905041
April,RHBU14,41,42040,752,55.90425532
April,RHBU16,35,46340,803,57.70859278
April,RHBU20,37,55920,774,72.24806202
April,RHBU21,41,39700,760,52.23684211
April,RHBU22,45,47920,1103,43.44514959
April,RHBU24,48,61700,1269,48.62096139
April,RHBU25,49,39920,1061,37.62488219
April,RHBU26,36,42420,1031,41.14451988
April,RFBS33,27,33380,1175,28.40851064
April,RFBS34,22,38240,1125,33.99111111
April,RFBS35,25,33730,995,33.89949749
April,RFBS40,51,43340,1507,28.75912409
April,RFBS41,16,40880,880,46.45454545
April,RFBS42,31,31580,961,32.8616025
April,RFBU10,18,43656,830,52.59759036
April,RFBU11,27,41780,1030,40.5631068
April,RFBU13,38,39546,923,42.84507042
April,RFBU14,74,49780,957,52.01671891
April,RFBU15,56,39098,1116,35.03405018
April,RFBU16,36,37600,916,41.04803493
April,RFBU20,53,26840,1459,18.39616175
April,RFBU21,47,37200,1058,35.16068053
April,RFBU22,36,42840,1144,37.44755245
April,RFBU23,40,41880,1091,38.3868011
April,RFBU24,56,50960,856,59.53271028
April,RFBU25,24,38500,914,42.12253829
April,RMAS33,22,45080,1101,40.94459582
April,RMAS34,21,47100,1178,39.98302207
April,RMAS35,25,46120,1207,38.21043911
April,RMAS40,26,43440,833,52.14885954
April,RMAS41,43,55660,1225,45.43673469
April,RMAS42,39,41220,966,42.67080745
April,RMAU10,43,53840,1112,48.41726619
April,RMAU11,49,52140,1188,43.88888889
April,RMAU12,32,31760,983,32.30925738
April,RMAU14,58,49260,1089,45.23415978
April,RMAU15,64,49560,909,54.52145215
April,RMAU16,32,47060,791,59.494311
April,RMAU20,41,42800,896,47.76785714
April,RMAU21,41,48280,1345,35.89591078
April,RMAU22,40,53520,1299,41.20092379
April,RMAU23,53,50880,1591,31.97988686
April,RMAU24,59,56500,948,59.59915612
April,RMAU25,35,33060,922,35.85683297
April,RTAS33,21,39160,1061,36.90857681
April,RTAS34,17,31300,1129,27.72364925
April,RTAS35,31,53680,1094,49.06764168
April,RTAS40,18,39000,724,53.86740331
April,RTAS41,41,50600,1148,44.07665505
April,RTAS42,43,37460,1056,35.47348485
April,RTAS43,17,35280,1056,33.40909091
April,RTAU10,44,44700,776,57.60309278
April,RTAU11,33,40520,843,48.06642942
April,RTAU13,48,42320,1254,33.74800638
April,RTAU14,37,40960,866,47.29792148
April,RTAU15,51,48560,1089,44.59136823
April,RTAU16,39,39340,868,45.32258065
April,RTAU20,32,49220,1025,48.0195122
April,RTAU21,52,55620,1411,39.41885188
April,RTAU22,38,34640,819,42.2954823
April,RTAU23,32,39060,1002,38.98203593
April,RTAU24,38,39160,1003,39.04287139
April,RTAU26,48,35960,798,45.06265664
April,RWAS33,30,43550,1141,38.16827344
